id;ville;annee;mois;temp_moy;temp_max_moy;temp_min_moy;precipitation_mm;ensoleillement_h
37;Bordeaux;1950;1;6.3;11.7;1.4;79;76
38;Bordeaux;1950;2;7.8;12.4;3.6;62;100
39;Bordeaux;1950;3;11.5;16.1;6.6;49;172
40;Bordeaux;1950;4;14.5;20.9;10.0;61;202
41;Bordeaux;1950;5;17.6;22.3;13.4;74;225
42;Bordeaux;1950;6;21.2;26.6;16.9;47;186
43;Bordeaux;1950;7;23.3;28.9;18.4;54;300
44;Bordeaux;1950;8;23.0;29.3;17.9;63;289
45;Bordeaux;1950;9;18.9;24.7;14.1;83;172
46;Bordeaux;1950;10;15.1;20.6;10.6;104;119
47;Bordeaux;1950;11;8.8;13.9;2.9;98;73
48;Bordeaux;1950;12;7.6;13.4;3.5;80;73
49;Marseille;1950;1;8.4;14.2;3.8;52;177
50;Marseille;1950;2;10.3;16.3;5.3;37;144
51;Marseille;1950;3;12.5;18.5;6.6;50;241
52;Marseille;1950;4;16.0;21.5;11.3;27;241
53;Marseille;1950;5;18.6;24.9;14.4;31;244
54;Marseille;1950;6;22.1;28.1;16.2;21;293
55;Marseille;1950;7;26.9;32.7;21.9;8;417
56;Marseille;1950;8;24.9;29.7;19.5;19;281
57;Marseille;1950;9;22.7;27.5;17.9;63;282
58;Marseille;1950;10;18.2;22.9;12.7;60;162
59;Marseille;1950;11;13.5;19.9;8.7;50;112
60;Marseille;1950;12;8.2;13.5;2.9;50;146
61;Lille;1951;1;3.9;9.2;-1.2;43;58
62;Lille;1951;2;5.2;10.2;-0.6;44;72
63;Lille;1951;3;7.5;13.6;2.1;37;91
64;Lille;1951;4;10.1;15.8;5.9;41;144
65;Lille;1951;5;14.0;19.2;9.3;52;193
66;Lille;1951;6;17.6;23.0;12.5;40;217
67;Lille;1951;7;19.9;25.4;15.2;69;215
68;Lille;1951;8;20.4;25.0;14.9;78;159
69;Lille;1951;9;16.3;22.0;12.0;43;111
70;Lille;1951;10;12.2;18.2;6.7;72;72
71;Lille;1951;11;5.3;10.9;-0.0;69;54
72;Lille;1951;12;4.7;10.5;-0.6;64;39
73;Paris;1951;1;4.3;10.1;-0.8;59;57
74;Paris;1951;2;5.3;11.8;0.8;31;81
75;Paris;1951;3;9.3;14.5;5.2;34;118
76;Paris;1951;4;11.7;16.8;7.3;44;160
77;Paris;1951;5;16.4;22.5;11.1;53;189
78;Paris;1951;6;19.1;25.0;14.8;38;195
79;Paris;1951;7;20.7;25.9;15.5;56;239
80;Paris;1951;8;21.3;27.0;15.7;52;218
81;Paris;1951;9;17.0;21.7;11.0;69;156
82;Paris;1951;10;13.1;19.6;8.1;68;125
83;Paris;1951;11;9.3;15.5;4.0;62;75
84;Paris;1951;12;4.0;10.3;-1.5;53;56
85;Nantes;1951;1;6.7;13.0;1.7;87;87
86;Nantes;1951;2;6.8;12.9;0.9;84;95
87;Nantes;1951;3;9.4;15.2;3.6;44;165
88;Nantes;1951;4;11.3;17.6;5.9;67;150
89;Nantes;1951;5;15.6;20.1;11.5;50;237
90;Nantes;1951;6;18.6;23.6;13.6;53;182
91;Nantes;1951;7;21.1;27.4;15.5;37;235
92;Nantes;1951;8;20.8;26.4;16.6;37;178
93;Nantes;1951;9;17.8;23.4;12.9;69;181
94;Nantes;1951;10;12.7;18.6;8.4;101;100
95;Nantes;1951;11;10.5;15.5;5.6;65;69
96;Nantes;1951;12;7.0;12.7;2.8;64;71
97;Bordeaux;1951;1;7.2;13.5;2.9;77;94
98;Bordeaux;1951;2;9.0;13.9;4.1;64;100
99;Bordeaux;1951;3;11.9;17.9;6.4;69;167
100;Bordeaux;1951;4;14.0;20.3;8.7;76;158
101;Bordeaux;1951;5;17.0;21.5;11.1;79;189
102;Bordeaux;1951;6;20.1;26.0;14.4;62;224
103;Bordeaux;1951;7;22.5;27.9;17.4;35;241
104;Bordeaux;1951;8;21.9;26.9;17.6;42;266
105;Bordeaux;1951;9;19.7;25.4;15.4;56;183
106;Bordeaux;1951;10;14.9;20.6;10.1;101;129
107;Bordeaux;1951;11;8.9;15.2;4.3;92;94
108;Bordeaux;1951;12;7.6;13.1;1.9;111;72
109;Marseille;1951;1;9.2;14.7;3.7;47;138
110;Marseille;1951;2;9.3;15.8;3.9;47;144
111;Marseille;1951;3;12.7;18.4;6.8;49;231
112;Marseille;1951;4;16.2;21.4;10.4;29;242
113;Marseille;1951;5;19.5;24.0;14.3;33;329
114;Marseille;1951;6;22.8;28.6;17.9;18;271
115;Marseille;1951;7;25.6;30.7;20.6;5;311
116;Marseille;1951;8;26.1;31.0;21.0;17;276
117;Marseille;1951;9;21.6;27.8;16.3;39;208
118;Marseille;1951;10;16.6;21.9;10.8;82;163
119;Marseille;1951;11;12.7;18.5;8.0;83;128
120;Marseille;1951;12;7.9;13.9;3.0;56;142
121;Lille;1952;1;4.4;10.3;-1.3;64;44
122;Lille;1952;2;4.4;9.2;-0.0;32;75
123;Lille;1952;3;7.7;12.2;3.5;57;100
124;Lille;1952;4;10.3;16.5;5.1;43;131
125;Lille;1952;5;14.7;21.0;10.0;61;164
126;Lille;1952;6;18.1;22.8;12.5;56;201
127;Lille;1952;7;18.9;25.3;14.5;68;153
128;Lille;1952;8;19.7;25.7;14.4;74;187
129;Lille;1952;9;16.3;22.7;11.2;47;117
130;Lille;1952;10;10.6;15.8;6.2;60;94
131;Lille;1952;11;7.6;12.2;1.6;64;55
132;Lille;1952;12;5.7;10.7;1.0;65;45
133;Paris;1952;1;6.2;11.2;0.7;50;69
134;Paris;1952;2;6.1;11.0;0.4;45;64
135;Paris;1952;3;9.2;14.7;3.5;39;128
136;Paris;1952;4;12.8;17.4;7.2;50;157
137;Paris;1952;5;15.8;20.6;10.2;63;201
138;Paris;1952;6;19.1;25.1;13.1;64;228
139;Paris;1952;7;20.9;27.2;15.1;63;194
140;Paris;1952;8;20.1;25.4;15.7;51;177
141;Paris;1952;9;17.0;23.2;11.6;50;190
142;Paris;1952;10;13.3;19.8;9.1;51;126
143;Paris;1952;11;8.2;14.1;3.2;50;59
144;Paris;1952;12;5.1;9.7;0.5;57;58
145;Nantes;1952;1;7.9;13.4;2.7;82;66
146;Nantes;1952;2;6.8;13.0;1.0;77;75
147;Nantes;1952;3;10.3;14.9;5.1;55;132
148;Nantes;1952;4;12.1;17.4;6.9;40;202
149;Nantes;1952;5;16.4;21.4;10.9;53;164
150;Nantes;1952;6;18.5;23.7;14.3;32;190
151;Nantes;1952;7;20.3;26.4;15.2;44;233
152;Nantes;1952;8;20.3;26.6;14.5;46;251
153;Nantes;1952;9;18.1;23.5;13.3;61;143
154;Nantes;1952;10;13.0;18.3;8.0;107;113
155;Nantes;1952;11;9.2;14.3;3.3;78;60
156;Nantes;1952;12;7.5;12.9;2.0;105;68
157;Bordeaux;1952;1;7.1;13.6;1.2;97;76
158;Bordeaux;1952;2;7.6;12.4;3.2;49;87
159;Bordeaux;1952;3;12.8;18.5;8.3;86;145
160;Bordeaux;1952;4;13.1;19.3;8.7;78;143
161;Bordeaux;1952;5;17.2;22.9;13.1;49;249
162;Bordeaux;1952;6;20.2;25.2;15.7;59;260
163;Bordeaux;1952;7;22.8;28.2;16.9;49;275
164;Bordeaux;1952;8;23.8;30.0;18.6;54;243
165;Bordeaux;1952;9;19.3;25.6;13.5;67;154
166;Bordeaux;1952;10;12.7;19.1;7.6;114;143
167;Bordeaux;1952;11;9.2;15.7;3.8;109;97
168;Bordeaux;1952;12;8.4;13.5;3.5;110;65
169;Marseille;1952;1;8.2;14.2;3.3;48;125
170;Marseille;1952;2;9.7;16.2;4.2;35;176
171;Marseille;1952;3;12.8;17.4;7.4;43;193
172;Marseille;1952;4;15.2;21.3;9.9;29;257
173;Marseille;1952;5;20.0;24.7;15.3;30;244
174;Marseille;1952;6;22.7;27.8;17.0;13;315
175;Marseille;1952;7;26.8;33.1;21.9;5;414
176;Marseille;1952;8;25.8;30.8;20.0;18;284
177;Marseille;1952;9;22.9;28.3;18.7;35;217
178;Marseille;1952;10;18.0;23.8;12.2;57;146
179;Marseille;1952;11;13.9;20.2;9.1;79;110
180;Marseille;1952;12;9.4;15.4;4.6;51;125
181;Lille;1953;1;3.5;9.3;-1.8;42;58
182;Lille;1953;2;4.6;10.4;0.3;54;80
183;Lille;1953;3;5.1;10.5;-0.3;55;117
184;Lille;1953;4;10.3;16.2;4.8;37;159
185;Lille;1953;5;15.1;21.5;9.2;50;149
186;Lille;1953;6;17.9;24.3;13.0;40;179
187;Lille;1953;7;20.1;26.5;15.8;62;153
188;Lille;1953;8;19.1;24.5;15.0;69;179
189;Lille;1953;9;15.9;21.3;11.6;51;152
190;Lille;1953;10;10.9;17.3;6.1;62;93
191;Lille;1953;11;7.3;13.3;2.9;64;59
192;Lille;1953;12;4.3;9.5;-1.0;71;37
193;Paris;1953;1;5.5;10.4;0.6;56;58
194;Paris;1953;2;7.0;12.2;1.7;48;76
195;Paris;1953;3;9.8;14.8;5.2;35;127
196;Paris;1953;4;12.2;18.6;7.3;36;191
197;Paris;1953;5;16.5;21.0;11.8;46;161
198;Paris;1953;6;16.8;22.0;11.4;67;180
199;Paris;1953;7;20.7;26.6;15.1;50;215
200;Paris;1953;8;21.9;28.1;17.8;59;173
201;Paris;1953;9;16.9;23.1;11.4;42;153
202;Paris;1953;10;13.5;18.3;7.6;63;87
203;Paris;1953;11;7.3;12.0;2.0;47;64
204;Paris;1953;12;5.5;11.3;1.1;63;41
205;Nantes;1953;1;6.7;12.0;1.4;73;88
206;Nantes;1953;2;7.4;12.1;1.5;57;95
207;Nantes;1953;3;9.1;15.1;3.8;67;120
208;Nantes;1953;4;11.0;15.7;5.7;47;145
209;Nantes;1953;5;16.3;21.8;11.3;68;221
210;Nantes;1953;6;18.8;23.8;14.5;33;194
211;Nantes;1953;7;20.5;26.5;15.3;42;194
212;Nantes;1953;8;20.2;24.7;14.5;35;183
213;Nantes;1953;9;17.3;22.7;12.3;69;182
214;Nantes;1953;10;14.3;20.1;8.4;90;90
215;Nantes;1953;11;8.4;13.4;3.6;68;88
216;Nantes;1953;12;7.5;12.9;2.3;61;74
217;Bordeaux;1953;1;7.4;13.5;3.4;94;83
218;Bordeaux;1953;2;8.7;14.6;3.3;53;92
219;Bordeaux;1953;3;10.1;15.6;5.8;52;171
220;Bordeaux;1953;4;13.6;19.7;9.2;52;196
221;Bordeaux;1953;5;16.4;21.7;10.6;50;177
222;Bordeaux;1953;6;20.9;26.2;15.4;51;231
223;Bordeaux;1953;7;22.9;28.9;17.4;38;294
224;Bordeaux;1953;8;22.0;27.8;17.1;64;214
225;Bordeaux;1953;9;19.4;25.4;14.4;58;177
226;Bordeaux;1953;10;14.8;20.7;10.2;97;117
227;Bordeaux;1953;11;10.1;16.3;5.2;84;73
228;Bordeaux;1953;12;7.5;13.0;2.4;79;73
229;Marseille;1953;1;7.7;12.4;2.5;55;148
230;Marseille;1953;2;8.6;14.9;2.9;39;174
231;Marseille;1953;3;12.8;18.6;7.1;30;178
232;Marseille;1953;4;15.4;20.7;9.5;32;211
233;Marseille;1953;5;19.4;24.3;13.4;23;317
234;Marseille;1953;6;22.8;29.2;17.5;23;290
235;Marseille;1953;7;26.5;32.6;22.0;5;305
236;Marseille;1953;8;27.0;32.6;22.6;12;295
237;Marseille;1953;9;22.1;28.6;17.3;59;259
238;Marseille;1953;10;17.6;23.6;12.4;50;196
239;Marseille;1953;11;13.0;18.2;8.3;70;134
240;Marseille;1953;12;8.7;14.3;2.8;62;126
241;Lille;1954;1;4.1;9.8;-1.0;65;58
242;Lille;1954;2;4.0;9.2;-0.9;47;68
243;Lille;1954;3;8.9;14.3;3.3;50;134
244;Lille;1954;4;10.3;15.0;6.0;50;151
245;Lille;1954;5;14.5;20.8;8.6;69;172
246;Lille;1954;6;16.7;23.1;12.4;51;149
247;Lille;1954;7;18.9;23.7;14.6;89;162
248;Lille;1954;8;19.0;25.2;13.6;43;204
249;Lille;1954;9;15.5;21.5;11.3;63;128
250;Lille;1954;10;11.6;17.7;6.5;79;100
251;Lille;1954;11;7.7;12.9;3.4;60;53
252;Lille;1954;12;5.0;10.6;-0.1;64;34
253;Paris;1954;1;6.0;10.7;0.3;67;72
254;Paris;1954;2;6.1;12.0;1.0;52;77
255;Paris;1954;3;9.4;14.8;4.8;44;142
256;Paris;1954;4;12.7;17.2;8.6;56;177
257;Paris;1954;5;16.4;22.4;10.9;54;170
258;Paris;1954;6;19.9;26.4;15.1;59;176
259;Paris;1954;7;21.9;28.3;16.0;51;244
260;Paris;1954;8;21.0;26.1;15.9;62;247
261;Paris;1954;9;17.3;23.6;12.4;54;179
262;Paris;1954;10;12.4;17.1;6.8;77;98
263;Paris;1954;11;8.1;14.0;3.1;58;70
264;Paris;1954;12;4.6;9.6;-0.1;64;48
265;Nantes;1954;1;6.3;12.2;1.1;78;83
266;Nantes;1954;2;7.3;13.7;3.1;79;78
267;Nantes;1954;3;9.1;14.0;3.8;44;149
268;Nantes;1954;4;12.5;17.5;8.0;52;142
269;Nantes;1954;5;16.3;20.9;11.4;72;215
270;Nantes;1954;6;18.5;24.5;14.1;56;220
271;Nantes;1954;7;21.9;27.3;16.6;32;212
272;Nantes;1954;8;21.5;27.4;16.1;41;183
273;Nantes;1954;9;17.0;22.1;12.7;52;166
274;Nantes;1954;10;13.8;19.1;9.2;101;107
275;Nantes;1954;11;9.3;15.5;4.3;84;67
276;Nantes;1954;12;6.9;13.2;1.5;74;55
277;Bordeaux;1954;1;6.4;12.1;2.1;94;83
278;Bordeaux;1954;2;7.3;12.3;1.6;79;104
279;Bordeaux;1954;3;11.3;17.5;6.3;84;176
280;Bordeaux;1954;4;12.8;18.8;7.1;61;148
281;Bordeaux;1954;5;16.0;22.1;10.6;64;179
282;Bordeaux;1954;6;20.4;25.3;16.3;55;186
283;Bordeaux;1954;7;23.4;28.4;18.4;41;280
284;Bordeaux;1954;8;22.2;27.9;17.8;59;282
285;Bordeaux;1954;9;20.6;26.4;16.4;74;188
286;Bordeaux;1954;10;13.2;18.9;7.7;82;146
287;Bordeaux;1954;11;10.0;15.5;5.7;106;88
288;Bordeaux;1954;12;6.8;11.6;1.4;77;62
289;Marseille;1954;1;7.9;14.2;3.2;62;163
290;Marseille;1954;2;9.5;15.8;5.0;38;189
291;Marseille;1954;3;12.3;16.9;7.0;40;189
292;Marseille;1954;4;14.5;20.3;9.1;41;208
293;Marseille;1954;5;19.4;23.9;15.3;25;301
294;Marseille;1954;6;24.3;30.4;18.5;17;277
295;Marseille;1954;7;26.2;32.2;21.1;7;350
296;Marseille;1954;8;25.3;29.9;20.2;12;279
297;Marseille;1954;9;21.5;26.2;16.0;36;255
298;Marseille;1954;10;17.2;22.5;11.9;60;151
299;Marseille;1954;11;12.6;18.2;8.0;77;153
300;Marseille;1954;12;10.3;15.7;4.9;65;107
301;Lille;1955;1;3.8;10.1;-1.1;43;44
302;Lille;1955;2;5.7;11.0;1.6;45;69
303;Lille;1955;3;7.5;13.6;2.7;32;110
304;Lille;1955;4;11.0;15.7;5.3;48;157
305;Lille;1955;5;13.6;20.0;8.2;46;159
306;Lille;1955;6;18.1;24.0;12.2;56;177
307;Lille;1955;7;19.5;25.6;13.9;82;180
308;Lille;1955;8;20.3;25.7;15.7;79;206
309;Lille;1955;9;16.5;22.2;12.1;70;141
310;Lille;1955;10;12.1;17.8;7.6;53;96
311;Lille;1955;11;8.0;14.0;3.2;74;54
312;Lille;1955;12;5.1;11.4;-0.5;75;38
313;Paris;1955;1;4.1;9.1;-1.8;50;70
314;Paris;1955;2;5.3;11.5;0.0;38;92
315;Paris;1955;3;9.7;14.3;4.0;59;141
316;Paris;1955;4;11.6;16.7;7.4;50;135
317;Paris;1955;5;15.6;20.9;9.7;56;234
318;Paris;1955;6;19.6;24.8;15.4;70;177
319;Paris;1955;7;20.9;26.2;16.2;78;205
320;Paris;1955;8;20.7;26.8;15.5;53;208
321;Paris;1955;9;17.7;23.4;12.5;39;133
322;Paris;1955;10;13.6;18.7;7.6;70;127
323;Paris;1955;11;7.3;12.6;2.1;65;56
324;Paris;1955;12;5.6;11.4;0.5;65;57
325;Nantes;1955;1;5.7;10.5;-0.0;61;69
326;Nantes;1955;2;6.5;12.4;1.2;74;92
327;Nantes;1955;3;9.5;14.6;4.8;46;157
328;Nantes;1955;4;11.7;17.8;6.0;41;189
329;Nantes;1955;5;15.5;21.6;10.2;67;192
330;Nantes;1955;6;19.1;23.8;13.9;38;221
331;Nantes;1955;7;20.9;27.2;15.9;46;230
332;Nantes;1955;8;21.6;26.8;15.7;53;206
333;Nantes;1955;9;18.5;23.4;13.7;75;191
334;Nantes;1955;10;13.8;19.4;8.1;92;110
335;Nantes;1955;11;9.7;15.5;4.3;86;86
336;Nantes;1955;12;9.0;14.4;3.2;90;56
337;Bordeaux;1955;1;6.8;12.5;1.9;57;87
338;Bordeaux;1955;2;7.0;11.5;2.6;57;97
339;Bordeaux;1955;3;11.6;16.8;7.0;51;175
340;Bordeaux;1955;4;12.7;18.5;7.5;61;151
341;Bordeaux;1955;5;17.8;22.9;12.2;59;228
342;Bordeaux;1955;6;21.6;27.6;17.0;41;220
343;Bordeaux;1955;7;23.8;29.0;17.9;45;292
344;Bordeaux;1955;8;21.7;26.9;16.8;63;208
345;Bordeaux;1955;9;19.4;24.9;14.9;81;215
346;Bordeaux;1955;10;14.2;19.1;9.8;103;109
347;Bordeaux;1955;11;10.0;16.0;5.8;85;71
348;Bordeaux;1955;12;6.6;12.3;1.3;94;66
349;Marseille;1955;1;8.5;13.8;2.8;41;145
350;Marseille;1955;2;10.8;16.0;5.0;48;151
351;Marseille;1955;3;12.5;18.6;7.7;43;209
352;Marseille;1955;4;14.6;20.7;10.2;27;258
353;Marseille;1955;5;19.1;23.6;14.4;31;314
354;Marseille;1955;6;23.3;29.3;19.1;19;346
355;Marseille;1955;7;26.6;31.6;22.2;5;435
356;Marseille;1955;8;25.5;30.2;20.3;18;376
357;Marseille;1955;9;22.3;27.1;16.8;40;217
358;Marseille;1955;10;18.0;23.7;12.5;62;148
359;Marseille;1955;11;13.2;18.0;9.2;47;116
360;Marseille;1955;12;9.5;14.4;5.4;47;113
361;Lille;1956;1;1.9;7.8;-2.8;62;60
362;Lille;1956;2;1.1;6.7;-3.3;44;61
363;Lille;1956;3;7.2;12.3;2.1;52;109
364;Lille;1956;4;10.0;15.3;5.8;47;179
365;Lille;1956;5;15.4;21.6;10.2;64;216
366;Lille;1956;6;17.7;23.2;12.1;71;204
367;Lille;1956;7;20.0;26.4;14.9;51;172
368;Lille;1956;8;19.5;24.4;14.9;60;165
369;Lille;1956;9;15.8;21.4;10.1;51;111
370;Lille;1956;10;11.2;16.4;5.2;59;92
371;Lille;1956;11;6.5;12.7;0.9;62;41
372;Lille;1956;12;3.1;8.2;-2.5;44;35
373;Paris;1956;1;2.7;8.7;-3.0;67;58
374;Paris;1956;2;3.3;9.6;-0.9;34;81
375;Paris;1956;3;8.4;13.5;4.2;37;136
376;Paris;1956;4;12.1;17.7;7.6;52;140
377;Paris;1956;5;16.0;21.8;11.9;69;232
378;Paris;1956;6;18.2;24.4;12.3;57;173
379;Paris;1956;7;20.7;27.1;16.2;77;254
380;Paris;1956;8;20.5;26.9;14.6;50;180
381;Paris;1956;9;17.3;22.3;13.1;70;153
382;Paris;1956;10;12.9;18.2;8.4;67;100
383;Paris;1956;11;8.2;13.2;3.7;39;64
384;Paris;1956;12;5.5;11.0;-0.1;60;40
385;Nantes;1956;1;7.8;12.5;2.1;90;86
386;Nantes;1956;2;5.5;11.7;1.2;85;87
387;Nantes;1956;3;10.7;15.4;6.5;56;152
388;Nantes;1956;4;12.0;18.1;7.9;41;157
389;Nantes;1956;5;14.8;20.1;10.2;68;187
390;Nantes;1956;6;17.2;22.7;11.9;39;247
391;Nantes;1956;7;21.0;26.1;16.9;33;233
392;Nantes;1956;8;20.3;26.5;15.9;43;258
393;Nantes;1956;9;17.0;21.9;12.6;70;172
394;Nantes;1956;10;14.9;19.9;9.0;65;127
395;Nantes;1956;11;9.4;14.2;4.7;107;85
396;Nantes;1956;12;6.9;12.9;2.0;80;65
397;Bordeaux;1956;1;6.4;11.4;2.4;70;90
398;Bordeaux;1956;2;5.3;10.6;-0.1;77;100
399;Bordeaux;1956;3;10.4;16.6;5.2;68;160
400;Bordeaux;1956;4;13.6;18.7;7.8;70;193
401;Bordeaux;1956;5;17.5;22.3;13.2;79;195
402;Bordeaux;1956;6;21.2;27.5;16.7;49;219
403;Bordeaux;1956;7;23.1;28.8;18.0;46;217
404;Bordeaux;1956;8;22.7;28.5;18.0;48;298
405;Bordeaux;1956;9;18.6;24.8;13.7;85;185
406;Bordeaux;1956;10;14.5;20.4;8.7;75;126
407;Bordeaux;1956;11;9.3;14.0;3.4;65;86
408;Bordeaux;1956;12;8.5;14.4;3.5;69;59
409;Marseille;1956;1;10.1;16.5;4.2;39;174
410;Marseille;1956;2;7.1;12.5;2.3;41;173
411;Marseille;1956;3;12.5;18.2;6.6;42;221
412;Marseille;1956;4;15.1;19.7;9.6;31;213
413;Marseille;1956;5;19.0;24.7;13.7;26;315
414;Marseille;1956;6;23.3;28.9;18.3;19;262
415;Marseille;1956;7;26.1;31.7;20.8;7;408
416;Marseille;1956;8;26.1;32.0;21.9;18;403
417;Marseille;1956;9;21.8;28.0;16.5;46;223
418;Marseille;1956;10;17.4;23.1;12.4;54;143
419;Marseille;1956;11;12.7;19.0;8.4;53;111
420;Marseille;1956;12;8.3;14.6;4.3;45;132
421;Lille;1957;1;4.3;9.0;0.1;50;57
422;Lille;1957;2;4.8;9.6;-0.8;39;62
423;Lille;1957;3;8.6;13.5;4.3;48;129
424;Lille;1957;4;9.7;16.1;5.5;37;173
425;Lille;1957;5;14.9;19.6;10.2;64;184
426;Lille;1957;6;16.9;22.2;11.3;42;170
427;Lille;1957;7;19.2;25.1;13.7;57;176
428;Lille;1957;8;18.8;24.8;13.3;69;145
429;Lille;1957;9;16.9;22.7;12.6;55;111
430;Lille;1957;10;10.6;15.8;6.4;80;102
431;Lille;1957;11;7.0;11.8;1.3;60;53
432;Lille;1957;12;4.6;10.8;0.5;44;32
433;Paris;1957;1;5.5;11.9;1.0;37;74
434;Paris;1957;2;4.9;9.8;0.2;52;64
435;Paris;1957;3;9.9;14.8;4.2;60;123
436;Paris;1957;4;13.6;18.9;8.6;43;140
437;Paris;1957;5;16.6;21.4;11.4;52;171
438;Paris;1957;6;18.8;24.4;14.5;49;220
439;Paris;1957;7;21.2;27.3;15.6;65;259
440;Paris;1957;8;21.3;27.1;15.6;54;247
441;Paris;1957;9;17.3;23.7;11.5;46;156
442;Paris;1957;10;14.5;20.5;9.1;71;117
443;Paris;1957;11;9.3;15.5;5.2;56;63
444;Paris;1957;12;5.7;12.1;0.1;46;49
445;Nantes;1957;1;6.0;11.2;0.5;67;90
446;Nantes;1957;2;7.6;13.4;2.2;79;100
447;Nantes;1957;3;10.3;15.9;4.7;55;120
448;Nantes;1957;4;11.9;17.9;7.7;38;198
449;Nantes;1957;5;15.4;21.8;9.4;43;197
450;Nantes;1957;6;18.8;24.0;13.6;58;249
451;Nantes;1957;7;20.7;26.5;16.6;33;252
452;Nantes;1957;8;21.2;27.5;16.8;49;198
453;Nantes;1957;9;16.5;21.6;11.9;68;138
454;Nantes;1957;10;11.9;17.5;6.0;74;103
455;Nantes;1957;11;10.0;14.6;5.3;107;64
456;Nantes;1957;12;6.5;11.5;2.3;75;52
457;Bordeaux;1957;1;6.2;11.3;0.6;82;90
458;Bordeaux;1957;2;6.8;12.5;1.6;64;89
459;Bordeaux;1957;3;10.1;16.4;4.3;77;156
460;Bordeaux;1957;4;12.7;18.9;7.4;86;150
461;Bordeaux;1957;5;17.4;23.5;11.7;65;203
462;Bordeaux;1957;6;20.3;24.9;15.0;72;201
463;Bordeaux;1957;7;24.1;30.4;19.3;34;256
464;Bordeaux;1957;8;22.3;28.6;16.9;48;275
465;Bordeaux;1957;9;18.9;23.7;14.5;61;149
466;Bordeaux;1957;10;13.9;20.0;8.0;88;102
467;Bordeaux;1957;11;8.8;13.7;3.6;106;83
468;Bordeaux;1957;12;7.0;11.7;2.3;64;78
469;Marseille;1957;1;7.8;13.3;2.1;66;165
470;Marseille;1957;2;9.6;14.2;4.8;31;187
471;Marseille;1957;3;12.1;16.6;7.0;47;221
472;Marseille;1957;4;16.0;22.4;10.7;39;187
473;Marseille;1957;5;18.8;23.5;14.4;21;306
474;Marseille;1957;6;24.0;30.1;19.7;18;351
475;Marseille;1957;7;26.7;31.8;21.9;7;430
476;Marseille;1957;8;25.7;31.9;21.4;19;359
477;Marseille;1957;9;22.2;27.7;18.1;51;259
478;Marseille;1957;10;18.3;23.6;13.7;73;158
479;Marseille;1957;11;12.8;18.9;8.6;61;127
480;Marseille;1957;12;11.1;17.5;6.2;54;155
481;Lille;1958;1;4.3;9.0;-0.9;65;54
482;Lille;1958;2;5.4;10.9;1.0;38;76
483;Lille;1958;3;7.4;12.3;2.2;34;121
484;Lille;1958;4;11.4;16.9;6.3;55;163
485;Lille;1958;5;14.0;19.7;8.1;38;189
486;Lille;1958;6;18.3;23.3;14.0;47;223
487;Lille;1958;7;19.8;24.6;14.4;66;210
488;Lille;1958;8;18.4;24.6;14.1;53;183
489;Lille;1958;9;17.6;22.5;11.8;62;153
490;Lille;1958;10;11.8;18.1;7.6;71;82
491;Lille;1958;11;5.7;11.0;1.3;69;46
492;Lille;1958;12;3.2;9.6;-1.8;64;44
493;Paris;1958;1;4.4;10.0;-1.5;63;66
494;Paris;1958;2;3.9;9.9;-1.1;44;64
495;Paris;1958;3;10.3;15.2;5.9;39;135
