Titre,Plateforme,Annee,Genre,Editeur,Ventes_Monde,Note_Metacritic,PEGI,Multijoueur
Rainbow Six Siege,PC,2015,FPS,Ubisoft,70.0,79,18,Oui
Just Dance 2022,Switch,2021,Musique,Ubisoft,3.0,70,3,Oui
Rayman Legends,PS4,2013,Plateforme,Ubisoft,3.0,91,7,Oui
The Division 2,PC,2019,TPS,Ubisoft,10.0,80,18,Oui
Ghost Recon Breakpoint,PS4,2019,TPS,Ubisoft,5.0,58,18,Oui
Apex Legends,PC,2019,Battle Royale,EA,0.0,88,16,Oui
Valorant,PC,2020,FPS,Riot Games,0.0,80,16,Oui
League of Legends,PC,2009,MOBA,Riot Games,0.0,82,12,Oui
Fortnite,PC,2017,Battle Royale,Epic Games,0.0,81,12,Oui
Rocket League,PC,2015,Sport,Epic Games,0.0,86,3,Oui
Genshin Impact,PC,2020,RPG,HoYoverse,0.0,84,12,Oui
Honkai Star Rail,PC,2023,RPG,HoYoverse,0.0,87,12,Non
World of Warcraft,PC,2004,MMORPG,Blizzard,0.0,93,12,Oui
Hearthstone,PC,2014,Cartes,Blizzard,0.0,88,7,Oui
Counter-Strike 2,PC,2023,FPS,Valve,0.0,75,16,Oui
Dota 2,PC,2013,MOBA,Valve,0.0,90,16,Oui
Portal 2,PC,2011,Puzzle,Valve,9.0,95,7,Oui
Half-Life 2,PC,2004,FPS,Valve,12.0,96,16,Non
Left 4 Dead 2,PC,2009,FPS,Valve,12.0,89,18,Oui
Team Fortress 2,PC,2007,FPS,Valve,0.0,92,12,Oui
The Witcher 3,PC,2015,RPG,CD Projekt,50.0,93,18,Non
The Witcher 2,PC,2011,RPG,CD Projekt,8.0,88,18,Non
Baldurs Gate 3,PC,2023,RPG,Larian Studios,10.0,96,18,Oui
Divinity Original Sin 2,PC,2017,RPG,Larian Studios,5.0,93,18,Oui
Hades,PC,2020,Rogue-like,Supergiant,3.0,93,12,Non
Celeste,PC,2018,Plateforme,Maddy Makes Games,1.0,94,7,Non
Hollow Knight,PC,2017,Plateforme,Team Cherry,3.0,90,7,Non
Stardew Valley,PC,2016,Simulation,ConcernedApe,20.0,89,3,Oui
Among Us,PC,2018,Strategie,Innersloth,0.0,85,7,Oui
Fall Guys,PC,2020,Battle Royale,Mediatonic,0.0,80,3,Oui
Cuphead,PC,2017,Plateforme,Studio MDHR,6.0,88,7,Oui
Undertale,PC,2015,RPG,Toby Fox,1.0,92,7,Non
Disco Elysium,PC,2019,RPG,ZA/UM,1.0,97,18,Non
Outer Wilds,PC,2019,Aventure,Annapurna,1.0,85,7,Non
Return of the Obra Dinn,PC,2018,Puzzle,3909 LLC,0.5,88,12,Non
Slay the Spire,PC,2019,Cartes,MegaCrit,3.0,89,12,Non
Dead Cells,PC,2018,Rogue-like,Motion Twin,6.0,91,16,Non
Vampire Survivors,PC,2022,Rogue-like,Poncle,3.0,90,7,Non
Terraria,PC,2011,Sandbox,Re-Logic,44.0,83,7,Oui
Factorio,PC,2020,Strategie,Wube Software,4.0,90,7,Non
Cities Skylines,PC,2015,Simulation,Paradox,12.0,85,3,Non
Age of Empires IV,PC,2021,Strategie,Microsoft,3.0,81,12,Oui
Age of Empires II Definitive,PC,2019,Strategie,Microsoft,6.0,92,12,Oui
Civilization VI,PC,2016,Strategie,2K Games,8.0,88,12,Oui
Total War Warhammer III,PC,2022,Strategie,Sega,2.0,82,16,Oui
Crusader Kings III,PC,2020,Strategie,Paradox,3.0,91,18,Non
Stellaris,PC,2016,Strategie,Paradox,3.0,78,12,Non
Euro Truck Simulator 2,PC,2012,Simulation,SCS Software,12.0,79,3,Non
Planet Zoo,PC,2019,Simulation,Frontier,3.0,85,3,Non
Two Point Hospital,PC,2018,Simulation,Sega,5.0,83,3,Non
Kerbal Space Program,PC,2015,Simulation,Private Division,3.0,88,3,Non
No Mans Sky,PC,2016,Aventure,Hello Games,10.0,61,7,Oui
Subnautica,PC,2018,Survie,Unknown Worlds,5.0,87,7,Non
The Forest,PC,2018,Survie,Endnight Games,10.0,75,18,Oui
Rust,PC,2018,Survie,Facepunch,14.0,69,18,Oui
DayZ,PC,2018,Survie,Bohemia Interactive,4.0,61,18,Oui
ARK Survival Evolved,PC,2017,Survie,Studio Wildcard,20.0,70,16,Oui
7 Days to Die,PC,2016,Survie,The Fun Pimps,3.0,65,18,Oui
Valheim,PC,2021,Survie,Coffee Stain,12.0,83,12,Oui
Palworld,PC,2024,Survie,Pocketpair,25.0,70,12,Oui
Satisfactory,PC,2024,Simulation,Coffee Stain,3.0,85,7,Oui
Lethal Company,PC,2023,Horreur,Zeekerss,0.0,88,12,Oui
Phasmophobia,PC,2020,Horreur,Kinetic Games,0.0,78,16,Oui
Devour,PC,2021,Horreur,STRAIGHT4 Studios,0.0,65,16,Oui
Outlast,PC,2013,Horreur,Red Barrels,4.0,80,18,Non
Amnesia The Dark Descent,PC,2010,Horreur,Frictional Games,2.0,85,18,Non
Alien Isolation,PC,2014,Horreur,Sega,1.0,79,18,Non
Until Dawn,PS4,2015,Horreur,Sony,8.0,79,18,Non
Detroit Become Human,PS4,2018,Aventure,Sony,8.0,78,18,Non
Heavy Rain,PS3,2010,Aventure,Sony,5.0,87,18,Non
Beyond Two Souls,PS3,2013,Aventure,Sony,2.0,70,18,Non
Death Stranding,PS4,2019,Action,Sony,10.0,82,16,Non
Ghost of Tsushima,PS4,2020,Action-Aventure,Sony,10.0,83,18,Non
Returnal,PS5,2021,Rogue-like,Sony,2.0,86,16,Non
Demon's Souls Remake,PS5,2020,RPG,Sony,2.0,92,16,Non
Ratchet and Clank Rift Apart,PS5,2021,Plateforme,Sony,3.0,88,7,Non
Gran Turismo 7,PS5,2022,Course,Sony,7.0,87,3,Oui
Gran Turismo Sport,PS4,2017,Course,Sony,9.0,75,3,Oui
Nioh 2,PS4,2020,Action,Koei Tecmo,1.5,85,18,Non
Persona 5 Royal,PS4,2019,RPG,Atlus,4.0,95,17,Non
Persona 4 Golden,PC,2012,RPG,Atlus,3.0,93,12,Non
Shin Megami Tensei V,Switch,2021,RPG,Atlus,1.5,83,16,Non
Fire Emblem Three Houses,Switch,2019,RPG,Nintendo,3.4,89,12,Non
Fire Emblem Engage,Switch,2023,RPG,Nintendo,1.8,78,12,Non
Xenoblade Chronicles 3,Switch,2022,RPG,Nintendo,1.8,83,12,Non
Bayonetta 3,Switch,2022,Action,Nintendo,1.0,85,18,Non
Kirby Forgotten Land,Switch,2022,Plateforme,Nintendo,6.96,83,7,Non
Pikmin 4,Switch,2023,Strategie,Nintendo,3.27,84,7,Non
Splatoon 3,Switch,2022,Tir,Nintendo,13.0,83,7,Oui
Metroid Dread,Switch,2021,Action,Nintendo,3.0,88,7,Non
Luigi's Mansion 3,Switch,2019,Aventure,Nintendo,15.0,86,7,Non
Ring Fit Adventure,Switch,2019,Sport,Nintendo,15.0,83,3,Non
Nintendogs Cats,3DS,2011,Simulation,Nintendo,4.62,73,3,Non
Tomodachi Life,3DS,2013,Simulation,Nintendo,6.53,64,3,Non
Mario Party Superstars,Switch,2021,Compilation,Nintendo,15.0,75,3,Oui
Mario Party 8,Wii,2007,Compilation,Nintendo,8.89,62,3,Oui
Super Mario Party,Switch,2018,Compilation,Nintendo,21.0,74,3,Oui
1-2 Switch,Switch,2017,Compilation,Nintendo,3.17,58,3,Oui
Just Dance 2020,Switch,2019,Musique,Ubisoft,5.0,65,3,Oui
Guitar Hero III,Wii,2007,Musique,Activision,7.0,87,12,Oui
Rock Band,PS3,2007,Musique,Harmonix,3.0,92,12,Oui
Dance Dance Revolution,Arcade,1998,Musique,Konami,3.0,80,3,Oui
Taiko no Tatsujin,Switch,2018,Musique,Bandai Namco,2.0,79,3,Oui
Osu!,PC,2007,Musique,ppy,0.0,80,7,Oui
Beat Saber,PSVR,2018,Musique,Beat Games,4.0,87,7,Non
Superhot VR,PSVR,2017,FPS,Superhot Team,1.0,88,12,Non
Astro Bot,PS5,2024,Plateforme,Sony,4.0,94,7,Non
Lies of P,PS5,2023,RPG,Neowiz,3.0,80,16,Non
Lords of the Fallen,PS5,2023,RPG,CI Games,2.0,74,18,Non
Star Wars Jedi Survivor,PS5,2023,Action-Aventure,EA,4.0,84,16,Non
Star Wars Jedi Fallen Order,PS4,2019,Action-Aventure,EA,10.0,80,16,Non
Battlefield 2042,PC,2021,FPS,EA,5.0,68,18,Oui
Battlefield V,PC,2018,FPS,EA,7.0,81,18,Oui
Battlefield 1,PC,2016,FPS,EA,15.0,89,18,Oui
Battlefield 4,PC,2013,FPS,EA,10.0,83,18,Oui
Need for Speed Heat,PS4,2019,Course,EA,5.0,72,12,Oui
Need for Speed Unbound,PS5,2022,Course,EA,3.0,73,12,Oui
Burnout Paradise Remastered,PS4,2018,Course,EA,3.0,80,7,Oui
Dragon Age Inquisition,PC,2014,RPG,EA,10.0,85,16,Non
Mass Effect Legendary,PC,2021,RPG,EA,3.0,87,16,Non
Mass Effect 2,PC,2010,RPG,EA,2.0,96,18,Non
Jedi Survivor,PS5,2023,Action-Aventure,EA,5.0,84,16,Non
Anthem,PC,2019,Action,EA,5.0,55,16,Oui
Immortals Fenyx Rising,PC,2020,Action-Aventure,Ubisoft,5.0,77,12,Non
Riders Republic,PC,2021,Sport,Ubisoft,5.0,76,12,Oui
Prince of Persia Lost Crown,Switch,2024,Plateforme,Ubisoft,2.0,88,12,Non
Skull and Bones,PC,2024,Action,Ubisoft,3.0,63,18,Oui
Like a Dragon Ishin,PS5,2023,Action,Sega,1.0,78,18,Non
Like a Dragon Infinite Wealth,PS5,2024,RPG,Sega,1.0,91,18,Non
Yakuza 0,PC,2015,Action,Sega,3.0,85,18,Non
Sonic Frontiers,Switch,2022,Plateforme,Sega,3.6,68,7,Non
Sonic Superstars,Switch,2023,Plateforme,Sega,1.0,69,7,Oui
Two Point Campus,PC,2022,Simulation,Sega,2.0,78,3,Non
Football Manager 2024,PC,2023,Sport,Sega,1.0,81,3,Non
Persona 3 Reload,PC,2024,RPG,Atlus,1.0,91,16,Non
Metaphor Refantazio,PC,2024,RPG,Atlus,1.0,94,12,Non
Astlibra Revision,PC,2022,RPG,KEIZO,0.5,80,12,Non
Hi-Fi Rush,PC,2023,Action,Bethesda,3.0,87,12,Non
Starfield,PC,2023,RPG,Bethesda,6.0,83,18,Non
Fallout 4,PC,2015,RPG,Bethesda,25.0,84,18,Non
Fallout 76,PC,2018,RPG,Bethesda,13.0,52,18,Oui
The Elder Scrolls V Skyrim,PC,2011,RPG,Bethesda,30.0,96,18,Non
DOOM Eternal,PC,2020,FPS,Bethesda,3.0,88,18,Non
DOOM 2016,PC,2016,FPS,Bethesda,3.0,85,18,Non
Quake Champions,PC,2017,FPS,Bethesda,0.0,72,18,Oui
Prey,PC,2017,FPS,Bethesda,2.0,82,18,Non
Deathloop,PC,2021,FPS,Bethesda,3.0,88,18,Non
Ghostwire Tokyo,PC,2022,Action,Bethesda,3.0,75,18,Non
Indiana Jones Great Circle,PC,2024,Aventure,Bethesda,3.0,84,12,Non
Alan Wake 2,PC,2023,Horreur,Epic Games,1.5,89,18,Non
Control,PC,2019,Action,505 Games,2.0,85,16,Non
Remedy Collection,PC,2023,Action,Remedy,1.0,82,18,Non
Sifu,PC,2022,Combat,Microids,2.0,80,16,Non
Tunic,PC,2022,Aventure,Finji,0.5,86,7,Non
Kena Bridge of Spirits,PC,2021,Aventure,Ember Lab,1.0,82,7,Non
It Takes Two,PC,2021,Plateforme,EA,12.0,89,12,Oui
Unravel Two,PC,2018,Plateforme,EA,5.0,82,3,Oui
A Way Out,PC,2018,Action,EA,4.0,78,18,Oui
Hazelight,PC,2022,Action,EA,1.0,80,16,Oui
Ico,PS2,2001,Aventure,Sony,1.0,90,12,Non
Shadow of the Colossus,PS2,2005,Aventure,Sony,2.0,91,12,Non
Journey,PS3,2012,Aventure,Sony,3.0,92,3,Non
Flower,PS3,2009,Aventure,Sony,1.0,87,3,Non
